Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.64754319190979	0	20.836735	10.180708	51.0	9.0	20.836734693877553	10.180707923694298	1021	1021
0.9973971843719482	1	26.125	14.498599	77.0	11.0	26.125	14.498599070255029	1045	2066
1.267749309539795	2	34.931034	19.55352	87.0	10.0	34.93103448275862	19.553518132132606	1013	3079
1.546247959136963	3	42.25	23.542957	115.0	15.0	42.25	23.54295719176615	1014	4093
1.851250171661377	4	51.6	21.159868	117.0	21.0	51.6	21.15986767444447	1032	5125
2.146951913833618	5	52.736843	12.497756	86.0	37.0	52.73684210526316	12.497756031271154	1002	6127
2.426194190979004	6	55.77778	18.686167	95.0	33.0	55.77777777777778	18.686167062995366	1004	7131
2.7359731197357178	7	70.2	34.618298	134.0	32.0	70.2	34.61829959236396	1053	8184
3.0381991863250732	8	60.47059	23.519999	113.0	28.0	60.470588235294116	23.519998116893742	1028	9212
3.336508274078369	9	71.066666	27.081278	153.0	41.0	71.06666666666666	27.081276845000414	1066	10278
3.621190309524536	10	72.42857	20.465002	110.0	46.0	72.42857142857143	20.4650024805914	1014	11292
3.928478956222534	11	77.84615	30.571093	152.0	37.0	77.84615384615384	30.571092816193723	1012	12304
4.224868059158325	12	83.916664	23.023388	119.0	54.0	83.91666666666667	23.023387867316334	1007	13311
4.544201135635376	13	100.0	33.647907	141.0	36.0	100.0	33.647909566298736	1100	14411
4.8331992626190186	14	111.22222	27.107924	145.0	51.0	111.22222222222223	27.107923309852406	1001	15412
5.123114109039307	15	112.44444	27.345978	150.0	62.0	112.44444444444444	27.345977202063974	1012	16424
5.433022975921631	16	146.14285	44.79614	200.0	66.0	146.14285714285714	44.79613685967821	1023	17447
5.717272043228149	17	166.83333	29.728868	200.0	121.0	166.83333333333334	29.72886737761053	1001	18448
6.051778078079224	18	200.0	0.0	200.0	200.0	200.0	0.0	1200	19648
6.396560192108154	19	200.0	0.0	200.0	200.0	200.0	0.0	1200	20848
6.749541282653809	20	200.0	0.0	200.0	200.0	200.0	0.0	1200	22048
