Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
10.977641820907593	17	3.356961	9.256946	29.443356	-0.8582002	21.0	0.0	0.15985528	0.15985528	0.1615022389044049	0.1615022389044049	1008	18144
11.412503719329834	18	9.983487	17.038416	59.132633	-0.92466015	21.0	0.0	0.4754041	0.4754041	0.4769696056077568	0.4769696056077568	1008	19152
11.882166862487793	19	13.295245	20.881824	79.28398	-0.90383565	21.0	0.0	0.6331069	0.6331069	0.6345183380829059	0.6345183380829059	1008	20160
12.352257013320923	20	13.296787	21.783863	69.16292	-0.7939861	21.0	0.0	0.6331803	0.6331803	0.6345937010687377	0.6345937010687377	1008	21168
12.95001482963562	21	15.542735	19.36518	59.19834	-0.78466797	21.0	0.0	0.7401302	0.7401302	0.7414260693483639	0.7414260693483639	1008	22176
13.515753984451294	22	16.18366	20.431545	68.960495	-1.2031218	21.0	0.0	0.77065045	0.77065045	0.7719341531660767	0.7719341531660767	1008	23184
14.201981782913208	23	19.906214	26.055805	79.198456	-0.82101357	21.0	0.0	0.9479151	0.9479151	0.94914586927528	0.94914586927528	1008	24192
14.778234720230103	24	32.129536	25.300291	79.05374	-0.7888944	21.0	0.0	1.5299779	1.5299779	1.5311204099285607	1.5311204099285607	1008	25200
15.213181734085083	25	25.909872	23.88849	69.01972	-1.0413011	21.0	0.0	1.2338034	1.2338034	1.2349134205568568	1.2349134205568568	1008	26208
15.696170806884766	26	36.469177	27.707668	108.968735	-0.8773534	21.0	0.0	1.7366275	1.7366275	1.7376848680054446	1.7376848680054446	1008	27216
16.168514013290405	27	37.49901	25.459854	98.82771	-0.76498705	21.0	0.0	1.7856672	1.7856672	1.7866737286187113	1.7866737286187113	1008	28224
16.784517765045166	28	48.06338	24.981422	98.733734	-0.6738458	21.0	0.0	2.2887323	2.2887323	2.289667473981694	2.289667473981694	1008	29232
17.249847650527954	29	46.571518	30.143295	98.80294	-0.8045048	21.0	0.0	2.2176914	2.2176914	2.2186713845345785	2.2186713845345785	1008	30240
17.691369771957397	30	44.098694	29.685919	108.79742	-0.94585353	21.0	0.0	2.099938	2.099938	2.1008569595838775	2.1008569595838775	1008	31248
18.219762802124023	31	57.333942	28.887104	108.89108	-0.82369167	21.0	0.0	2.730188	2.730188	2.7310251177160385	2.7310251177160385	1008	32256
18.658528804779053	32	54.64033	24.9512	108.66127	9.2136345	21.0	0.0	2.6019204	2.6019204	2.6027649184515913	2.6027649184515913	1008	33264
19.156610012054443	33	58.116085	25.496275	108.53565	-0.773313	21.0	0.0	2.7674322	2.7674322	2.768228702021005	2.768228702021005	1008	34272
19.651670932769775	34	59.394398	20.803291	108.77329	-0.7577172	21.0	0.0	2.828305	2.828305	2.8290712136560128	2.8290712136560128	1008	35280
20.250464916229248	35	68.325226	20.944895	118.50842	-0.6784378	21.0	0.0	3.2535822	3.2535822	3.254316454299967	3.254316454299967	1008	36288
20.748016834259033	36	66.01538	20.805645	98.81765	-0.6878136	21.0	0.0	3.14359	3.14359	3.14428917362914	3.14428917362914	1008	37296
21.31858777999878	37	68.25409	23.548105	118.72825	-0.879845	21.0	0.0	3.2501948	3.2501948	3.2508858849272935	3.2508858849272935	1008	38304
21.773234844207764	38	71.99884	23.172758	118.62305	-0.8596507	21.0	0.0	3.4285161	3.4285161	3.429165585211993	3.429165585211993	1008	39312
22.24509286880493	39	73.69931	19.668135	108.76325	19.334358	21.0	0.0	3.509491	3.509491	3.510137957142067	3.510137957142067	1008	40320
22.848803758621216	40	77.594696	19.609873	118.450645	29.2117	21.0	0.0	3.6949856	3.6949856	3.695615358741115	3.695615358741115	1008	41328
23.43692183494568	41	72.15377	20.185316	108.5613	9.061744	21.0	0.0	3.4358938	3.4358938	3.436510295433034	3.436510295433034	1008	42336
23.976996660232544	42	70.31151	24.681486	118.63846	-0.8688781	21.0	0.0	3.3481667	3.3481667	3.348795586058712	3.348795586058712	1008	43344
24.626168727874756	43	76.09552	22.648306	108.80307	9.041837	21.0	0.0	3.6235962	3.6235962	3.6241929594657365	3.6241929594657365	1008	44352
25.093917846679688	44	79.62283	18.911863	118.545555	29.19497	21.0	0.0	3.7915633	3.7915633	3.79215258170315	3.79215258170315	1008	45360
25.587151765823364	45	75.46866	21.661676	118.560684	38.850227	21.0	0.0	3.5937457	3.5937457	3.59434517840849	3.59434517840849	1008	46368
26.121613025665283	46	82.921425	18.690363	118.50224	18.990673	21.0	0.0	3.9486392	3.9486392	3.9492009079733803	3.9492009079733803	1008	47376
26.596205711364746	47	82.054634	22.337498	118.57123	38.955585	21.0	0.0	3.9073637	3.9073637	3.907904747204211	3.907904747204211	1008	48384
27.035562992095947	48	81.83572	20.07666	118.28856	29.10543	21.0	0.0	3.8969388	3.8969388	3.8974915710910367	3.8974915710910367	1008	49392
27.523432970046997	49	89.73972	14.488818	118.73065	58.744804	21.0	0.0	4.27332	4.27332	4.2738305957708	4.2738305957708	1008	50400
27.977479934692383	50	79.38358	20.32381	108.68625	28.868877	21.0	0.0	3.7801707	3.7801707	3.780694893977393	3.780694893977393	1008	51408
28.458784818649292	51	84.70709	25.213987	128.47467	9.118454	21.0	0.0	4.033671	4.033671	4.034199437929819	4.034199437929819	1008	52416
28.93740677833557	52	81.00654	20.319067	118.788345	38.801846	21.0	0.0	3.857454	3.857454	3.8579839170298738	3.8579839170298738	1008	53424
29.40536069869995	53	86.596	17.87554	118.47803	38.9842	21.0	0.0	4.1236196	4.1236196	4.124114990447594	4.124114990447594	1008	54432
29.905065774917603	54	82.80551	18.108007	118.54766	28.92229	21.0	0.0	3.9431195	3.9431195	3.9436082127187375	3.9436082127187375	1008	55440
30.367164850234985	55	81.85226	18.699701	118.629036	48.88288	21.0	0.0	3.8977263	3.8977263	3.898220442157772	3.898220442157772	1008	56448
30.820868730545044	56	85.342995	19.054008	118.3041	38.959625	21.0	0.0	4.0639524	4.0639524	4.064433041585141	4.064433041585141	1008	57456
31.255433797836304	57	87.65011	19.441229	118.46685	38.930737	21.0	0.0	4.1738143	4.1738143	4.174292559243221	4.174292559243221	1008	58464
31.74793791770935	58	88.22491	16.337349	118.52947	58.667637	21.0	0.0	4.2011857	4.2011857	4.2016604555038315	4.2016604555038315	1008	59472
32.29318976402283	59	88.83713	18.181725	128.55174	38.822376	21.0	0.0	4.230339	4.230339	4.230807954268241	4.230807954268241	1008	60480
32.803940773010254	60	89.474205	17.43403	118.58443	38.8192	21.0	0.0	4.2606764	4.2606764	4.261125791312429	4.261125791312429	1008	61488
33.34572696685791	61	89.081825	19.444874	128.45157	38.844147	21.0	0.0	4.241992	4.241992	4.242451780728034	4.242451780728034	1008	62496
33.796233892440796	62	87.63273	20.203993	118.23576	19.054226	21.0	0.0	4.172987	4.172987	4.173432986660797	4.173432986660797	1008	63504
34.243000745773315	63	92.34912	17.485012	128.31046	48.96279	21.0	0.0	4.3975773	4.3975773	4.398004414941681	4.398004414941681	1008	64512
34.70572781562805	64	86.77093	21.240534	118.54846	28.880402	21.0	0.0	4.1319485	4.1319485	4.132398647235088	4.132398647235088	1008	65520
35.15766501426697	65	84.533356	17.78698	118.29924	48.71485	21.0	0.0	4.025398	4.025398	4.025845541460988	4.025845541460988	1008	66528
35.60801291465759	66	86.60526	20.945414	118.47677	28.779976	21.0	0.0	4.124059	4.124059	4.124486927599135	4.124486927599135	1008	67536
36.06108784675598	67	85.983185	20.15652	108.775246	38.742935	21.0	0.0	4.0944376	4.0944376	4.094884170363492	4.094884170363492	1008	68544
36.512953758239746	68	88.84201	16.888992	118.48434	58.60125	21.0	0.0	4.2305717	4.2305717	4.230986607767807	4.230986607767807	1008	69552
36.96703100204468	69	86.56479	17.97351	118.70871	38.861446	21.0	0.0	4.1221333	4.1221333	4.122607272586648	4.122607272586648	1008	70560
37.432395935058594	70	87.21775	18.969141	128.04465	39.292442	21.0	0.0	4.1532264	4.1532264	4.153646295646737	4.153646295646737	1008	71568
37.88864779472351	71	85.71281	19.472239	118.504776	19.155144	21.0	0.0	4.0815625	4.0815625	4.082018209261066	4.082018209261066	1008	72576
38.33662271499634	72	80.976654	16.620083	118.39274	38.94384	21.0	0.0	3.8560312	3.8560312	3.856469019330485	3.856469019330485	1008	73584
38.79197072982788	73	85.528076	20.460247	127.795395	38.843063	21.0	0.0	4.0727654	4.0727654	4.073186535850528	4.073186535850528	1008	74592
39.240203857421875	74	86.57898	20.360416	128.56845	39.1095	21.0	0.0	4.122809	4.122809	4.123227914389022	4.123227914389022	1008	75600
39.69766664505005	75	84.75809	19.27792	138.30801	29.186115	21.0	0.0	4.0360994	4.0360994	4.03651138324154	4.03651138324154	1008	76608
40.15750193595886	76	82.90864	15.966065	118.67284	58.367996	21.0	0.0	3.9480305	3.9480305	3.9484516212927816	3.9484516212927816	1008	77616
40.61254286766052	77	80.99828	18.126068	118.62812	29.287968	21.0	0.0	3.857061	3.857061	3.8574855918696964	3.8574855918696964	1008	78624
41.08081793785095	78	75.8868	20.409475	118.69763	19.21529	21.0	0.0	3.6136572	3.6136572	3.6140946501005837	3.6140946501005837	1008	79632
41.53395390510559	79	76.70496	19.452427	118.51955	39.08229	21.0	0.0	3.6526172	3.6526172	3.6530551162679337	3.6530551162679337	1008	80640
41.99176478385925	80	70.65337	17.064964	108.53418	38.724087	21.0	0.0	3.3644462	3.3644462	3.3649118061905687	3.3649118061905687	1008	81648
42.44141483306885	81	73.18606	22.561195	108.56205	29.322186	21.0	0.0	3.4850502	3.4850502	3.4855096807270027	3.4855096807270027	1008	82656
42.90070676803589	82	72.76769	21.43676	128.51187	28.970907	21.0	0.0	3.4651282	3.4651282	3.4655707188299805	3.4655707188299805	1008	83664
43.34715270996094	83	68.587746	25.594852	98.834114	-1.1683999	21.0	0.0	3.2660832	3.2660832	3.2665375214517947	3.2665375214517947	1008	84672
43.79914689064026	84	65.9121	23.242573	108.78064	9.026897	21.0	0.0	3.1386714	3.1386714	3.139135133829254	3.139135133829254	1008	85680
44.249516010284424	85	62.870594	21.971012	98.96752	-0.9537923	21.0	0.0	2.9938376	2.9938376	2.9942844461176183	2.9942844461176183	1008	86688
44.70065689086914	86	66.990456	26.15013	118.51511	-0.6959572	21.0	0.0	3.1900218	3.1900218	3.1904677315225163	3.1904677315225163	1008	87696
45.15127086639404	87	64.930695	23.13461	128.41167	-0.7503148	21.0	0.0	3.0919378	3.0919378	3.0923878186835805	3.0923878186835805	1008	88704
45.607616901397705	88	60.80657	28.489422	98.91696	-1.0313206	21.0	0.0	2.895551	2.895551	2.8959992888441466	2.8959992888441466	1008	89712
46.06230878829956	89	63.736225	24.138773	98.86458	18.844593	21.0	0.0	3.0350585	3.0350585	3.0355192071502377	3.0355192071502377	1008	90720
46.53060579299927	90	64.948944	21.793766	108.59924	-1.0508327	21.0	0.0	3.0928068	3.0928068	3.0932448740744163	3.0932448740744163	1008	91728
46.98915076255798	91	63.935608	22.13595	98.81593	-0.7711123	21.0	0.0	3.0445528	3.0445528	3.0449877179052027	3.0449877179052027	1008	92736
47.442786693573	92	57.900562	19.938066	98.71403	9.225627	21.0	0.0	2.75717	2.75717	2.757581484701349	2.757581484701349	1008	93744
47.89682674407959	93	55.641224	23.614223	98.76462	-0.73711175	21.0	0.0	2.6495824	2.6495824	2.6500591428252513	2.6500591428252513	1008	94752
48.426854848861694	94	53.964844	28.231228	128.55952	-1.1504991	21.0	0.0	2.5697544	2.5697544	2.570207423148518	2.570207423148518	1008	95760
48.912845611572266	95	55.21143	23.67275	98.72192	-0.4526686	21.0	0.0	2.6291158	2.6291158	2.629573983512514	2.629573983512514	1008	96768
49.45199990272522	96	53.147083	28.136309	108.71813	-0.7986955	21.0	0.0	2.5308135	2.5308135	2.531289670284645	2.531289670284645	1008	97776
49.93853783607483	97	56.915096	26.238441	108.77195	-0.69296396	21.0	0.0	2.7102423	2.7102423	2.710694114847121	2.710694114847121	1008	98784
50.40125489234924	98	51.13419	23.67614	98.91002	-0.67672783	21.0	0.0	2.4349613	2.4349613	2.4354090489242113	2.4354090489242113	1008	99792
50.865280866622925	99	50.916016	29.643463	118.53884	-0.8925686	21.0	0.0	2.4245722	2.4245722	2.4250139732294924	2.4250139732294924	1008	100800
